Part,Value,Device,Package,Description,Source
C1,22uF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/smd-vielschicht-0805-22-f-x5r-10-6-3v-85-c-kem-x5r0805-22u-p207090.html
C2,100nF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html
C3,22uF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/smd-vielschicht-0805-22-f-x5r-10-6-3v-85-c-kem-x5r0805-22u-p207090.html
C4,100nF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html
C5,100nF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html
C6,100nF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html
C7,100nF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html
C8,22uF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/smd-vielschicht-0805-22-f-x5r-10-6-3v-85-c-kem-x5r0805-22u-p207090.html
C9,100nF,C_CHIP-0805,0805,Capacitor,https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html
D1,1SMB5920B,SMBJ 5.0A-TR STM,DO-214AA/SMB,Zener Diode,https://www.reichelt.de/tvs-diode-unidirectional-5-v-600-w-do-214aa-smb-smbj-5-0a-tr-stm-p219609.html
F1,1812L010,1812L010,FUSC4532X125,Fuse,https://www.reichelt.de/smd-sicherung-smd-1206-traege-t-2a-belfuse-430020-p279446.html
FAN,Micro Sh 1,0 Jst 4 Pin,Micro Sh 1,0 Jst 4 Pin,1X04_1MM_RA,Micro Sh 1,0 Jst 4 Pin,https://amzn.to/3sryfXW
FB1,BLM21AG 331,FB_BLM21AG102SN1D_0805(2012),0805,Ferrite Bead,https://www.reichelt.de/ferrit-bead-smd-0805-blm21-330-ohm-blm21pg-331-p89688.html
FB2,BLM21AG 331,FB_BLM21AG102SN1D_0805(2012),0805,Ferrite Bead,https://www.reichelt.de/ferrit-bead-smd-0805-blm21-330-ohm-blm21pg-331-p89688.html
FB3,BLM21AG 331,FB_BLM21AG102SN1D_0805(2012),0805,Ferrite Bead,https://www.reichelt.de/ferrit-bead-smd-0805-blm21-330-ohm-blm21pg-331-p89688.html
FB5,BLM21AG 601,FB_BLM21AG102SN1D_0805(2012),0805,Ferrite Bead,https://www.reichelt.de/emi-suppression-filter-smd0805-blm21-600-ohm-blm21ag-601-p89683.html
FB6,BLM21AG 601,FB_BLM21AG102SN1D_0805(2012),0805,Ferrite Bead,https://www.reichelt.de/emi-suppression-filter-smd0805-blm21-600-ohm-blm21ag-601-p89683.html
GPS,Micro Sh 1,0 Jst 4 Pin,Micro Sh 1,0 Jst 4 Pin,1X04_1MM_RA,Micro Sh 1,0 Jst 4 Pin,https://amzn.to/3sryfXW
GY-91,GY-91,GY-91,GY-91,GY-91,https://amzn.to/3sjisum
USB-C,USB-C 6 Pin,USB-C 6 Pin,USB-C 6 Pin,USB-C Connector 6 Pin,https://amzn.to/3YMTQXd
USB1,USB-A Plug,USB-A Plug,USB-A Plug,USB-A Connector,https://www.reichelt.de/usb-einbaubuchse-serie-a-gew-printmontage-usb-aw-p22184.html
USB2,USB-A Plug,USB-A Plug,USB-A Plug,USB-A Connector,https://www.reichelt.de/usb-einbaubuchse-serie-a-gew-printmontage-usb-aw-p22184.html
